Date;PM10;Lyon Gerland (source Atmo-Auvergne-Rhône-Alpes)
2017-06-13 06:00:00;8.3;
2017-06-13 07:00:00;51.9;6
2017-06-13 08:00:00;116.4;11
2017-06-13 09:00:00;67.0;18
2017-06-13 10:00:00;0.0;24
2017-06-13 11:00:00;53.8;28
2017-06-13 12:00:00;111.7;35
2017-06-13 13:00:00;0.0;37
2017-06-13 14:00:00;37.3;28
2017-06-13 15:00:00;126.9;21
2017-06-13 16:00:00;119.0;39
2017-06-13 17:00:00;140.9;46
2017-06-13 18:00:00;207.1;34
2017-06-13 19:00:00;225.3;28
2017-06-13 20:00:00;231.4;25
2017-06-13 21:00:00;211.8;27
2017-06-13 22:00:00;169.5;30
2017-06-13 23:00:00;101.3;40
2017-06-14 00:00:00;87.2;33
2017-06-14 01:00:00;92.0;22
2017-06-14 02:00:00;74.6;15
2017-06-14 03:00:00;44.5;14
2017-06-14 04:00:00;35.9;12
2017-06-14 05:00:00;43.9;
2017-06-14 06:00:00;56.1;3
2017-06-14 07:00:00;74.5;10
2017-06-14 08:00:00;86.8;10
2017-06-14 09:00:00;147.8;14
2017-06-14 10:00:00;258.2;19
2017-06-14 11:00:00;251.1;22
2017-06-14 12:00:00;165.1;30
2017-06-14 13:00:00;105.0;36
2017-06-14 14:00:00;128.2;46
2017-06-14 15:00:00;164.8;36
2017-06-14 16:00:00;139.9;28
2017-06-14 17:00:00;158.2;28
2017-06-14 18:00:00;187.8;41
2017-06-14 19:00:00;198.6;51
2017-06-14 20:00:00;209.2;31
2017-06-14 21:00:00;179.7;28
2017-06-14 22:00:00;134.4;18
2017-06-14 23:00:00;112.6;10
2017-06-15 00:00:00;95.4;9
2017-06-15 01:00:00;82.8;13
2017-06-15 02:00:00;71.0;17
2017-06-15 03:00:00;40.8;18
2017-06-15 04:00:00;27.9;18
2017-06-15 05:00:00;20.1;16
2017-06-15 06:00:00;30.0;16
2017-06-15 07:00:00;61.4;17
2017-06-15 08:00:00;97.2;17
2017-06-15 09:00:00;148.7;22
2017-06-15 10:00:00;182.3;25
2017-06-15 11:00:00;184.3;28
2017-06-15 12:00:00;142.5;34
2017-06-15 13:00:00;122.3;27
2017-06-15 14:00:00;141.3;22
2017-06-15 15:00:00;119.4;
2017-06-15 16:00:00;126.4;
2017-06-15 17:00:00;131.5;
2017-06-15 18:00:00;176.9;22
2017-06-15 19:00:00;218.9;27
2017-06-15 20:00:00;201.5;38
2017-06-15 21:00:00;143.7;44
2017-06-15 22:00:00;102.1;28
2017-06-15 23:00:00;98.4;16
2017-06-16 00:00:00;92.7;12
2017-06-16 01:00:00;112.1;18
2017-06-16 02:00:00;88.5;18
2017-06-16 03:00:00;51.7;16
2017-06-16 04:00:00;32.5;17
2017-06-16 05:00:00;25.1;13
2017-06-16 06:00:00;41.0;7
2017-06-16 07:00:00;80.9;7
2017-06-16 08:00:00;122.7;13
2017-06-16 09:00:00;139.4;15
2017-06-16 10:00:00;172.4;26
2017-06-16 11:00:00;131.0;27
2017-06-16 12:00:00;103.6;28
2017-06-16 13:00:00;129.1;27
2017-06-16 14:00:00;136.3;25
2017-06-16 15:00:00;101.3;20
2017-06-16 16:00:00;85.0;17
2017-06-16 17:00:00;135.4;16
2017-06-16 18:00:00;163.9;14
2017-06-16 19:00:00;176.3;15
2017-06-16 20:00:00;156.6;14
2017-06-16 21:00:00;134.8;12
2017-06-16 22:00:00;101.9;15
2017-06-16 23:00:00;85.0;15
2017-06-17 00:00:00;71.7;14
2017-06-17 01:00:00;83.9;12
2017-06-17 02:00:00;40.4;10
2017-06-17 03:00:00;22.2;15
2017-06-17 04:00:00;16.3;16
2017-06-17 05:00:00;14.0;14
2017-06-17 06:00:00;22.8;14
2017-06-17 07:00:00;42.6;14
2017-06-17 08:00:00;66.0;15
2017-06-17 09:00:00;72.0;16
2017-06-17 10:00:00;61.1;15
2017-06-17 11:00:00;50.4;15
2017-06-17 12:00:00;68.1;19
2017-06-17 13:00:00;104.3;19
2017-06-17 14:00:00;139.0;18
2017-06-17 15:00:00;81.1;19
2017-06-17 16:00:00;54.9;18
2017-06-17 17:00:00;133.5;18
2017-06-17 18:00:00;80.6;18
2017-06-17 19:00:00;86.8;19
2017-06-17 20:00:00;70.8;17
2017-06-17 21:00:00;57.9;19
2017-06-17 22:00:00;58.9;19
2017-06-17 23:00:00;69.8;19
2017-06-18 00:00:00;81.1;20
2017-06-18 01:00:00;87.6;22
2017-06-18 02:00:00;80.0;14
2017-06-18 03:00:00;32.8;10
2017-06-18 04:00:00;14.1;8
2017-06-18 05:00:00;11.2;9
2017-06-18 06:00:00;20.8;10
2017-06-18 07:00:00;53.9;9
2017-06-18 08:00:00;55.0;10
2017-06-18 09:00:00;50.7;10
2017-06-18 10:00:00;51.5;11
2017-06-18 11:00:00;57.0;12
2017-06-18 12:00:00;79.5;11
2017-06-18 13:00:00;76.8;13
2017-06-18 14:00:00;87.6;13
2017-06-18 15:00:00;97.9;13
2017-06-18 16:00:00;92.9;11
2017-06-18 17:00:00;75.6;11
2017-06-18 18:00:00;104.9;13
2017-06-18 19:00:00;155.0;14
2017-06-18 20:00:00;153.0;12
2017-06-18 21:00:00;119.3;14
2017-06-18 22:00:00;99.7;18
2017-06-18 23:00:00;88.7;19
2017-06-19 00:00:00;94.8;22
2017-06-19 01:00:00;94.7;21
2017-06-19 02:00:00;69.4;17
2017-06-19 03:00:00;40.3;14
2017-06-19 04:00:00;22.6;11
2017-06-19 05:00:00;15.8;15
2017-06-19 06:00:00;34.1;18
2017-06-19 07:00:00;53.4;17
2017-06-19 08:00:00;87.8;17
2017-06-19 09:00:00;166.8;22
2017-06-19 10:00:00;192.8;25
2017-06-19 11:00:00;211.0;28
2017-06-19 12:00:00;84.2;24
2017-06-19 13:00:00;97.6;31
2017-06-19 14:00:00;139.2;30
2017-06-19 15:00:00;245.2;27
2017-06-19 16:00:00;378.9;26
2017-06-19 17:00:00;146.4;26
2017-06-19 18:00:00;197.9;28
2017-06-19 19:00:00;232.6;28
2017-06-19 20:00:00;222.8;24
2017-06-19 21:00:00;171.1;19
2017-06-19 22:00:00;116.4;17
2017-06-19 23:00:00;91.1;18
2017-06-20 00:00:00;74.6;18
2017-06-20 01:00:00;44.6;17
