Date;Moyenne horaire PM2.5 en Âµg/m3;Lyon Centre
2017-06-20 03:00:00;15.8;
2017-06-20 04:00:00;29.1;
2017-06-20 05:00:00;17.7;
2017-06-20 06:00:00;18.7;
2017-06-20 07:00:00;28.0;
2017-06-20 08:00:00;56.9;
2017-06-20 09:00:00;77.3;
2017-06-20 10:00:00;66.4;
2017-06-20 11:00:00;48.4;
2017-06-20 12:00:00;42.7;
2017-06-20 13:00:00;44.8;
2017-06-20 14:00:00;63.3;
2017-06-20 15:00:00;53.1;
2017-06-20 16:00:00;56.9;
2017-06-20 17:00:00;78.7;
2017-06-20 18:00:00;90.6;
2017-06-20 19:00:00;112.7;
2017-06-20 20:00:00;122.2;
2017-06-20 21:00:00;106.8;
2017-06-20 22:00:00;67.7;
2017-06-20 23:00:00;56.1;
2017-06-21 00:00:00;53.3;
2017-06-21 01:00:00;64.0;
2017-06-21 02:00:00;54.9;
2017-06-21 03:00:00;42.8;
2017-06-21 04:00:00;31.1;
2017-06-21 05:00:00;20.9;
2017-06-21 06:00:00;20.5;
2017-06-21 07:00:00;39.1;
2017-06-21 08:00:00;52.9;
2017-06-21 09:00:00;76.0;
2017-06-21 10:00:00;87.1;
2017-06-21 11:00:00;72.4;
2017-06-21 12:00:00;47.2;
2017-06-21 13:00:00;59.3;
2017-06-21 14:00:00;61.0;
2017-06-21 15:00:00;61.8;
2017-06-21 16:00:00;64.6;
2017-06-21 17:00:00;75.2;
2017-06-21 18:00:00;108.0;
2017-06-21 19:00:00;107.8;
2017-06-21 20:00:00;111.1;
2017-06-21 21:00:00;108.9;
2017-06-21 22:00:00;154.4;
2017-06-21 23:00:00;141.7;
2017-06-22 00:00:00;86.9;
2017-06-22 01:00:00;98.4;
2017-06-22 02:00:00;72.1;
2017-06-22 03:00:00;50.5;
2017-06-22 04:00:00;33.2;
2017-06-22 05:00:00;27.1;
2017-06-22 06:00:00;33.2;
2017-06-22 07:00:00;60.1;
2017-06-22 08:00:00;65.8;
2017-06-22 09:00:00;90.7;
2017-06-22 10:00:00;95.1;
2017-06-22 11:00:00;70.7;
2017-06-22 12:00:00;54.2;
2017-06-22 13:00:00;74.5;
2017-06-22 14:00:00;74.6;
2017-06-22 15:00:00;70.2;
2017-06-22 16:00:00;62.7;
2017-06-22 17:00:00;69.3;
2017-06-22 18:00:00;93.5;
2017-06-22 19:00:00;122.9;
2017-06-22 20:00:00;119.6;
2017-06-22 21:00:00;105.6;
2017-06-22 22:00:00;92.2;
2017-06-22 23:00:00;84.3;
2017-06-23 00:00:00;76.8;
2017-06-23 01:00:00;74.8;
2017-06-23 02:00:00;80.5;
2017-06-23 03:00:00;51.4;
2017-06-23 04:00:00;34.2;
2017-06-23 05:00:00;27.3;
2017-06-23 06:00:00;35.5;
2017-06-23 07:00:00;53.1;
2017-06-23 08:00:00;55.9;
2017-06-23 09:00:00;79.9;
2017-06-23 10:00:00;94.6;
2017-06-23 11:00:00;96.8;
2017-06-23 12:00:00;73.2;
2017-06-23 13:00:00;66.9;
2017-06-23 14:00:00;72.8;27
2017-06-23 15:00:00;75.8;24
2017-06-23 16:00:00;79.3;24
2017-06-23 17:00:00;104.0;25
2017-06-23 18:00:00;128.4;26
2017-06-23 19:00:00;119.6;26
2017-06-23 20:00:00;119.4;26
2017-06-23 21:00:00;119.4;26
2017-06-23 22:00:00;63.7;22
2017-06-23 23:00:00;61.2;21
2017-06-24 00:00:00;47.9;17
2017-06-24 01:00:00;54.5;16
2017-06-24 02:00:00;51.2;17
2017-06-24 03:00:00;25.8;20
2017-06-24 04:00:00;16.9;19
2017-06-24 05:00:00;15.3;19
2017-06-24 06:00:00;29.8;19
2017-06-24 07:00:00;54.6;16
2017-06-24 08:00:00;57.6;15
2017-06-24 09:00:00;62.1;16
2017-06-24 10:00:00;71.1;15
2017-06-24 11:00:00;66.0;15
2017-06-24 12:00:00;64.2;14
2017-06-24 13:00:00;60.2;15
2017-06-24 14:00:00;65.7;15
2017-06-24 15:00:00;72.8;16
2017-06-24 16:00:00;75.5;17
2017-06-24 17:00:00;64.6;14
2017-06-24 18:00:00;60.0;13
2017-06-24 19:00:00;62.7;15
2017-06-24 20:00:00;74.2;15
2017-06-24 21:00:00;67.1;17
2017-06-24 22:00:00;63.9;14
2017-06-24 23:00:00;56.3;15
2017-06-25 00:00:00;47.3;15
2017-06-25 01:00:00;47.2;16
2017-06-25 02:00:00;35.1;13
2017-06-25 03:00:00;19.1;12
2017-06-25 04:00:00;12.6;14
2017-06-25 05:00:00;10.7;13
2017-06-25 06:00:00;19.9;15
2017-06-25 07:00:00;28.0;13
2017-06-25 08:00:00;22.2;11
2017-06-25 09:00:00;27.8;8
2017-06-25 10:00:00;30.3;7
2017-06-25 11:00:00;33.0;7
2017-06-25 12:00:00;20.9;7
2017-06-25 13:00:00;25.0;8
2017-06-25 14:00:00;27.0;6
2017-06-25 15:00:00;35.9;6
2017-06-25 16:00:00;39.8;9
2017-06-25 17:00:00;46.0;8
2017-06-25 18:00:00;56.0;8
2017-06-25 19:00:00;78.3;7
2017-06-25 20:00:00;100.1;7
2017-06-25 21:00:00;89.0;8
2017-06-25 22:00:00;39.7;6
2017-06-25 23:00:00;44.7;7
2017-06-26 00:00:00;65.1;6
2017-06-26 01:00:00;65.6;6
2017-06-26 02:00:00;47.6;5
2017-06-26 03:00:00;16.8;3
2017-06-26 04:00:00;11.8;5
2017-06-26 05:00:00;4.3;8
2017-06-26 06:00:00;10.3;5
2017-06-26 07:00:00;26.3;5
2017-06-26 08:00:00;38.0;6
2017-06-26 09:00:00;68.6;6
2017-06-26 10:00:00;72.4;10
2017-06-26 11:00:00;60.0;10
2017-06-26 12:00:00;49.7;13
2017-06-26 13:00:00;70.2;9
2017-06-26 14:00:00;69.5;8
2017-06-26 15:00:00;83.4;13
2017-06-26 16:00:00;57.0;12
2017-06-26 17:00:00;57.4;11
2017-06-26 18:00:00;71.5;9
2017-06-26 19:00:00;89.6;11
2017-06-26 20:00:00;91.4;14
2017-06-26 21:00:00;79.1;14
2017-06-26 22:00:00;53.2;14
2017-06-26 23:00:00;59.3;12
2017-06-27 00:00:00;53.5;13
2017-06-27 01:00:00;49.7;12
