Date et heure;Moyenne horaire PM2.5 en µg/m3 ;Lyon Centre
20-6 2h-3h;15.8;-
20-6 3h-4h;29.1;-
20-6 4h-5h;17.7;-
20-6 5h-6h;18.7;-
20-6 6h-7h;28;-
20-6 7h-8h;56.9;-
20-6 8h-9h;77.3;-
20-6 9h-10h;66.4;-
20-6 10h-11h;48.4;-
20-6 11h-12h;42.7;-
20-6 12h-13h;44.8;-
20-6 13h-14h;63.3;-
20-6 14h-15h;53.1;-
20-6 15h-16h;56.9;-
20-6 16h-17h;78.7;-
20-6 17h-18h;90.6;-
20-6 18h-19h;112.7;-
20-6 19h-20h;122.2;-
20-6 20h-21h;106.8;-
20-6 21h-22h;67.7;-
20-6 22h-23h;56.1;-
20-6 23h-24h;53.3;-
21-6 0h-1h;64;-
21-6 1h-2h;54.9;-
21-6 2h-3h;42.8;-
21-6 3h-4h;31.1;-
21-6 4h-5h;20.9;-
21-6 5h-6h;20.5;-
21-6 6h-7h;39.1;-
21-6 7h-8h;52.9;-
21-6 8h-9h;76;-
21-6 9h-10h;87.1;-
21-6 10h-11h;72.4;-
21-6 11h-12h;47.2;-
21-6 12h-13h;59.3;-
21-6 13h-14h;61;-
21-6 14h-15h;61.8;-
21-6 15h-16h;64.6;-
21-6 16h-17h;75.2;-
21-6 17h-18h;108;-
21-6 18h-19h;107.8;-
21-6 19h-20h;111.1;-
21-6 20h-21h;108.9;-
21-6 21h-22h;154.4;-
21-6 22h-23h;141.7;-
21-6 23h-24h;86.9;-
22-6 0h-1h;98.4;-
22-6 1h-2h;72.1;-
22-6 2h-3h;50.5;-
22-6 3h-4h;33.2;-
22-6 4h-5h;27.1;-
22-6 5h-6h;33.2;-
22-6 6h-7h;60.1;-
22-6 7h-8h;65.8;-
22-6 8h-9h;90.7;-
22-6 9h-10h;95.1;-
22-6 10h-11h;70.7;-
22-6 11h-12h;54.2;-
22-6 12h-13h;74.5;-
22-6 13h-14h;74.6;-
22-6 14h-15h;70.2;-
22-6 15h-16h;62.7;-
22-6 16h-17h;69.3;-
22-6 17h-18h;93.5;-
22-6 18h-19h;122.9;-
22-6 19h-20h;119.6;-
22-6 20h-21h;105.6;-
22-6 21h-22h;92.2;-
22-6 22h-23h;84.3;-
22-6 23h-24h;76.8;-
23-6 0h-1h;74.8;-
23-6 1h-2h;80.5;-
23-6 2h-3h;51.4;-
23-6 3h-4h;34.2;-
23-6 4h-5h;27.3;-
23-6 5h-6h;35.5;-
23-6 6h-7h;53.1;-
23-6 7h-8h;55.9;-
23-6 8h-9h;79.9;-
23-6 9h-10h;94.6;-
23-6 10h-11h;96.8;-
23-6 11h-12h;73.2;-
23-6 12h-13h;66.9;-
23-6 13h-14h;72.8;27
23-6 14h-15h;75.8;24
23-6 15h-16h;79.3;24
23-6 16h-17h;104;25
23-6 17h-18h;128.4;26
23-6 18h-19h;119.6;26
23-6 19h-20h;119.4;26
23-6 20h-21h;119.4;26
23-6 21h-22h;63.7;22
23-6 22h-23h;61.2;21
23-6 23h-24h;47.9;17
24-6 0h-1h;54.5;16
24-6 1h-2h;51.2;17
24-6 2h-3h;25.8;20
24-6 3h-4h;16.9;19
24-6 4h-5h;15.3;19
24-6 5h-6h;29.8;19
24-6 6h-7h;54.6;16
24-6 7h-8h;57.6;15
24-6 8h-9h;62.1;16
24-6 9h-10h;71.1;15
24-6 10h-11h;66;15
24-6 11h-12h;64.2;14
24-6 12h-13h;60.2;15
24-6 13h-14h;65.7;15
24-6 14h-15h;72.8;16
24-6 15h-16h;75.5;17
24-6 16h-17h;64.6;14
24-6 17h-18h;60;13
24-6 18h-19h;62.7;15
24-6 19h-20h;74.2;15
24-6 20h-21h;67.1;17
24-6 21h-22h;63.9;14
24-6 22h-23h;56.3;15
24-6 23h-24h;47.3;15
25-6 0h-1h;47.2;16
25-6 1h-2h;35.1;13
25-6 2h-3h;19.1;12
25-6 3h-4h;12.6;14
25-6 4h-5h;10.7;13
25-6 5h-6h;19.9;15
25-6 6h-7h;28;13
25-6 7h-8h;22.2;11
25-6 8h-9h;27.8;8
25-6 9h-10h;30.3;7
25-6 10h-11h;33;7
25-6 11h-12h;20.9;7
25-6 12h-13h;25;8
25-6 13h-14h;27;6
25-6 14h-15h;35.9;6
25-6 15h-16h;39.8;9
25-6 16h-17h;46;8
25-6 17h-18h;56;8
25-6 18h-19h;78.3;7
25-6 19h-20h;100.1;7
25-6 20h-21h;89;8
25-6 21h-22h;39.7;6
25-6 22h-23h;44.7;7
25-6 23h-24h;65.1;6
26-6 0h-1h;65.6;6
26-6 1h-2h;47.6;5
26-6 2h-3h;16.8;3
26-6 3h-4h;11.8;5
26-6 4h-5h;4.3;8
26-6 5h-6h;10.3;5
26-6 6h-7h;26.3;5
26-6 7h-8h;38;6
26-6 8h-9h;68.6;6
26-6 9h-10h;72.4;10
26-6 10h-11h;60;10
26-6 11h-12h;49.7;13
26-6 12h-13h;70.2;9
26-6 13h-14h;69.5;8
26-6 14h-15h;83.4;13
26-6 15h-16h;57;12
26-6 16h-17h;57.4;11
26-6 17h-18h;71.5;9
26-6 18h-19h;89.6;11
26-6 19h-20h;91.4;14
26-6 20h-21h;79.1;14
26-6 21h-22h;53.2;14
26-6 22h-23h;59.3;12
26-6 23h-24h;53.5;13
27-6 0h-1h;49.7;12